Int_LAO_sun,Int_optimized,two_theta_LAO_sub,two_theta_optimized
2,4,45.32,45.32
1,0,45.322,45.322
1,2,45.324,45.324
0,0,45.326,45.326
1,2,45.328,45.328
2,0,45.33,45.33
1,4,45.332,45.332
1,3,45.334,45.334
1,1,45.336,45.336
0,2,45.338,45.338
4,4,45.34,45.34
2,1,45.342,45.342
2,1,45.344,45.344
0,2,45.346,45.346
1,4,45.348,45.348
1,2,45.35,45.35
0,3,45.352,45.352
1,1,45.354,45.354
2,2,45.356,45.356
0,1,45.358,45.358
0,1,45.36,45.36
0,1,45.362,45.362
2,0,45.364,45.364
1,2,45.366,45.366
1,2,45.368,45.368
0,1,45.37,45.37
1,1,45.372,45.372
2,2,45.374,45.374
3,2,45.376,45.376
1,3,45.378,45.378
1,5,45.38,45.38
1,6,45.382,45.382
0,1,45.384,45.384
1,5,45.386,45.386
0,4,45.388,45.388
1,1,45.39,45.39
1,2,45.392,45.392
1,1,45.394,45.394
0,3,45.396,45.396
0,2,45.398,45.398
2,3,45.4,45.4
3,2,45.402,45.402
2,2,45.404,45.404
1,4,45.406,45.406
3,2,45.408,45.408
2,1,45.41,45.41
0,2,45.412,45.412
1,2,45.414,45.414
0,2,45.416,45.416
1,2,45.418,45.418
0,1,45.42,45.42
1,2,45.422,45.422
1,1,45.424,45.424
0,1,45.426,45.426
1,2,45.428,45.428
1,3,45.43,45.43
2,4,45.432,45.432
2,4,45.434,45.434
0,4,45.436,45.436
2,3,45.438,45.438
0,2,45.44,45.44
0,1,45.442,45.442
0,3,45.444,45.444
1,2,45.446,45.446
1,0,45.448,45.448
1,4,45.45,45.45
1,2,45.452,45.452
3,2,45.454,45.454
2,5,45.456,45.456
2,0,45.458,45.458
0,0,45.46,45.46
2,3,45.462,45.462
4,3,45.464,45.464
2,3,45.466,45.466
0,4,45.468,45.468
2,6,45.47,45.47
2,3,45.472,45.472
2,3,45.474,45.474
0,2,45.476,45.476
1,4,45.478,45.478
1,3,45.48,45.48
2,1,45.482,45.482
4,5,45.484,45.484
1,4,45.486,45.486
1,4,45.488,45.488
0,1,45.49,45.49
0,1,45.492,45.492
1,4,45.494,45.494
0,4,45.496,45.496
1,3,45.498,45.498
2,2,45.5,45.5
1,2,45.502,45.502
3,1,45.504,45.504
0,4,45.506,45.506
1,1,45.508,45.508
1,5,45.51,45.51
0,4,45.512,45.512
2,1,45.514,45.514
3,4,45.516,45.516
1,1,45.518,45.518
2,3,45.52,45.52
1,6,45.522,45.522
2,3,45.524,45.524
1,5,45.526,45.526
1,10,45.528,45.528
1,2,45.53,45.53
2,4,45.532,45.532
0,8,45.534,45.534
2,3,45.536,45.536
0,3,45.538,45.538
2,3,45.54,45.54
3,5,45.542,45.542
3,1,45.544,45.544
2,3,45.546,45.546
3,1,45.548,45.548
2,2,45.55,45.55
1,1,45.552,45.552
3,4,45.554,45.554
2,7,45.556,45.556
1,3,45.558,45.558
1,3,45.56,45.56
2,5,45.562,45.562
2,5,45.564,45.564
1,3,45.566,45.566
1,2,45.568,45.568
2,2,45.57,45.57
4,6,45.572,45.572
2,1,45.574,45.574
2,2,45.576,45.576
2,3,45.578,45.578
2,3,45.58,45.58
1,4,45.582,45.582
1,5,45.584,45.584
0,8,45.586,45.586
1,5,45.588,45.588
2,0,45.59,45.59
2,4,45.592,45.592
1,5,45.594,45.594
2,4,45.596,45.596
1,9,45.598,45.598
0,2,45.6,45.6
1,8,45.602,45.602
3,1,45.604,45.604
1,2,45.606,45.606
0,3,45.608,45.608
1,6,45.61,45.61
1,7,45.612,45.612
1,4,45.614,45.614
2,2,45.616,45.616
2,3,45.618,45.618
1,7,45.62,45.62
6,6,45.622,45.622
1,4,45.624,45.624
0,1,45.626,45.626
1,8,45.628,45.628
2,1,45.63,45.63
4,1,45.632,45.632
1,3,45.634,45.634
0,4,45.636,45.636
1,5,45.638,45.638
0,4,45.64,45.64
1,7,45.642,45.642
3,4,45.644,45.644
1,7,45.646,45.646
1,6,45.648,45.648
1,8,45.65,45.65
1,5,45.652,45.652
1,6,45.654,45.654
1,7,45.656,45.656
1,8,45.658,45.658
0,8,45.66,45.66
2,4,45.662,45.662
3,5,45.664,45.664
4,2,45.666,45.666
0,5,45.668,45.668
3,5,45.67,45.67
2,6,45.672,45.672
1,2,45.674,45.674
1,2,45.676,45.676
2,4,45.678,45.678
3,5,45.68,45.68
2,6,45.682,45.682
1,5,45.684,45.684
2,4,45.686,45.686
1,2,45.688,45.688
1,4,45.69,45.69
4,7,45.692,45.692
0,5,45.694,45.694
2,2,45.696,45.696
3,4,45.698,45.698
1,3,45.7,45.7
3,5,45.702,45.702
7,3,45.704,45.704
5,5,45.706,45.706
2,5,45.708,45.708
1,3,45.71,45.71
1,1,45.712,45.712
0,2,45.714,45.714
3,4,45.716,45.716
2,8,45.718,45.718
1,0,45.72,45.72
2,4,45.722,45.722
1,4,45.724,45.724
1,2,45.726,45.726
2,2,45.728,45.728
1,2,45.73,45.73
3,5,45.732,45.732
2,4,45.734,45.734
1,3,45.736,45.736
2,4,45.738,45.738
2,7,45.74,45.74
0,6,45.742,45.742
4,4,45.744,45.744
0,2,45.746,45.746
2,5,45.748,45.748
1,1,45.75,45.75
1,5,45.752,45.752
2,3,45.754,45.754
2,6,45.756,45.756
2,6,45.758,45.758
2,6,45.76,45.76
0,2,45.762,45.762
1,5,45.764,45.764
1,6,45.766,45.766
2,6,45.768,45.768
0,1,45.77,45.77
1,4,45.772,45.772
1,4,45.774,45.774
1,7,45.776,45.776
3,5,45.778,45.778
0,7,45.78,45.78
0,4,45.782,45.782
1,5,45.784,45.784
1,10,45.786,45.786
2,5,45.788,45.788
1,3,45.79,45.79
4,6,45.792,45.792
1,5,45.794,45.794
2,6,45.796,45.796
3,9,45.798,45.798
2,6,45.8,45.8
4,7,45.802,45.802
2,5,45.804,45.804
1,3,45.806,45.806
3,5,45.808,45.808
0,4,45.81,45.81
3,2,45.812,45.812
3,4,45.814,45.814
3,7,45.816,45.816
2,3,45.818,45.818
3,5,45.82,45.82
1,5,45.822,45.822
0,8,45.824,45.824
2,5,45.826,45.826
0,9,45.828,45.828
2,6,45.83,45.83
0,1,45.832,45.832
1,6,45.834,45.834
2,6,45.836,45.836
2,2,45.838,45.838
1,7,45.84,45.84
4,6,45.842,45.842
1,5,45.844,45.844
2,4,45.846,45.846
2,5,45.848,45.848
1,4,45.85,45.85
1,5,45.852,45.852
2,9,45.854,45.854
3,5,45.856,45.856
0,8,45.858,45.858
5,5,45.86,45.86
2,2,45.862,45.862
1,5,45.864,45.864
1,4,45.866,45.866
1,5,45.868,45.868
2,5,45.87,45.87
2,7,45.872,45.872
0,2,45.874,45.874
1,2,45.876,45.876
1,3,45.878,45.878
1,1,45.88,45.88
4,4,45.882,45.882
1,3,45.884,45.884
1,4,45.886,45.886
2,4,45.888,45.888
0,4,45.89,45.89
2,5,45.892,45.892
0,2,45.894,45.894
1,3,45.896,45.896
2,4,45.898,45.898
0,2,45.9,45.9
1,1,45.902,45.902
1,1,45.904,45.904
3,1,45.906,45.906
4,7,45.908,45.908
3,7,45.91,45.91
1,1,45.912,45.912
1,4,45.914,45.914
0,4,45.916,45.916
1,4,45.918,45.918
1,2,45.92,45.92
0,2,45.922,45.922
5,5,45.924,45.924
1,8,45.926,45.926
4,2,45.928,45.928
2,3,45.93,45.93
2,3,45.932,45.932
2,1,45.934,45.934
0,1,45.936,45.936
3,4,45.938,45.938
1,2,45.94,45.94
0,4,45.942,45.942
2,2,45.944,45.944
1,3,45.946,45.946
1,3,45.948,45.948
0,5,45.95,45.95
1,5,45.952,45.952
2,2,45.954,45.954
4,2,45.956,45.956
0,4,45.958,45.958
2,4,45.96,45.96
0,5,45.962,45.962
2,1,45.964,45.964
2,4,45.966,45.966
2,6,45.968,45.968
2,2,45.97,45.97
1,2,45.972,45.972
1,2,45.974,45.974
3,3,45.976,45.976
2,3,45.978,45.978
1,3,45.98,45.98
1,4,45.982,45.982
3,2,45.984,45.984
0,1,45.986,45.986
3,3,45.988,45.988
2,4,45.99,45.99
3,5,45.992,45.992
3,8,45.994,45.994
2,4,45.996,45.996
2,8,45.998,45.998
2,4,46,46
1,4,46.002,46.002
1,5,46.004,46.004
2,5,46.006,46.006
1,7,46.008,46.008
1,6,46.01,46.01
2,10,46.012,46.012
0,3,46.014,46.014
0,7,46.016,46.016
1,6,46.018,46.018
1,9,46.02,46.02
2,7,46.022,46.022
1,2,46.024,46.024
2,6,46.026,46.026
1,9,46.028,46.028
1,4,46.03,46.03
1,9,46.032,46.032
0,6,46.034,46.034
4,9,46.036,46.036
3,5,46.038,46.038
2,10,46.04,46.04
1,8,46.042,46.042
0,8,46.044,46.044
4,11,46.046,46.046
1,7,46.048,46.048
0,5,46.05,46.05
0,7,46.052,46.052
0,6,46.054,46.054
4,7,46.056,46.056
4,5,46.058,46.058
1,7,46.06,46.06
2,5,46.062,46.062
0,8,46.064,46.064
3,3,46.066,46.066
2,6,46.068,46.068
2,9,46.07,46.07
1,6,46.072,46.072
3,4,46.074,46.074
5,4,46.076,46.076
3,5,46.078,46.078
5,8,46.08,46.08
3,5,46.082,46.082
7,3,46.084,46.084
2,8,46.086,46.086
0,5,46.088,46.088
3,5,46.09,46.09
0,5,46.092,46.092
1,3,46.094,46.094
0,8,46.096,46.096
2,7,46.098,46.098
1,9,46.1,46.1
1,10,46.102,46.102
2,2,46.104,46.104
5,3,46.106,46.106
2,1,46.108,46.108
1,5,46.11,46.11
1,6,46.112,46.112
2,2,46.114,46.114
3,1,46.116,46.116
2,5,46.118,46.118
5,2,46.12,46.12
2,3,46.122,46.122
3,1,46.124,46.124
0,3,46.126,46.126
2,4,46.128,46.128
6,7,46.13,46.13
3,4,46.132,46.132
1,2,46.134,46.134
2,5,46.136,46.136
1,5,46.138,46.138
3,5,46.14,46.14
1,3,46.142,46.142
1,3,46.144,46.144
3,2,46.146,46.146
2,2,46.148,46.148
0,5,46.15,46.15
4,3,46.152,46.152
0,0,46.154,46.154
2,3,46.156,46.156
1,4,46.158,46.158
2,5,46.16,46.16
1,5,46.162,46.162
2,3,46.164,46.164
2,4,46.166,46.166
1,4,46.168,46.168
0,9,46.17,46.17
4,2,46.172,46.172
2,5,46.174,46.174
0,3,46.176,46.176
2,8,46.178,46.178
0,3,46.18,46.18
0,7,46.182,46.182
4,7,46.184,46.184
3,4,46.186,46.186
3,4,46.188,46.188
4,7,46.19,46.19
6,4,46.192,46.192
1,12,46.194,46.194
2,8,46.196,46.196
5,5,46.198,46.198
1,7,46.2,46.2
1,11,46.202,46.202
1,12,46.204,46.204
1,11,46.206,46.206
3,15,46.208,46.208
3,12,46.21,46.21
1,11,46.212,46.212
1,16,46.214,46.214
0,13,46.216,46.216
0,9,46.218,46.218
2,12,46.22,46.22
0,10,46.222,46.222
4,8,46.224,46.224
2,8,46.226,46.226
3,7,46.228,46.228
1,13,46.23,46.23
0,10,46.232,46.232
1,11,46.234,46.234
2,10,46.236,46.236
4,9,46.238,46.238
3,6,46.24,46.24
3,9,46.242,46.242
0,6,46.244,46.244
3,10,46.246,46.246
4,8,46.248,46.248
4,19,46.25,46.25
4,12,46.252,46.252
3,9,46.254,46.254
5,13,46.256,46.256
2,11,46.258,46.258
1,17,46.26,46.26
2,10,46.262,46.262
5,9,46.264,46.264
2,10,46.266,46.266
0,20,46.268,46.268
3,11,46.27,46.27
2,9,46.272,46.272
1,15,46.274,46.274
2,8,46.276,46.276
2,10,46.278,46.278
2,15,46.28,46.28
4,13,46.282,46.282
2,14,46.284,46.284
3,13,46.286,46.286
2,6,46.288,46.288
2,11,46.29,46.29
3,17,46.292,46.292
0,12,46.294,46.294
1,8,46.296,46.296
0,11,46.298,46.298
0,14,46.3,46.3
2,9,46.302,46.302
1,11,46.304,46.304
0,12,46.306,46.306
5,10,46.308,46.308
4,7,46.31,46.31
1,8,46.312,46.312
2,12,46.314,46.314
3,6,46.316,46.316
1,5,46.318,46.318
1,6,46.32,46.32
2,3,46.322,46.322
0,5,46.324,46.324
2,8,46.326,46.326
1,7,46.328,46.328
1,10,46.33,46.33
3,7,46.332,46.332
3,7,46.334,46.334
0,6,46.336,46.336
1,7,46.338,46.338
2,5,46.34,46.34
1,10,46.342,46.342
2,7,46.344,46.344
4,2,46.346,46.346
0,9,46.348,46.348
7,8,46.35,46.35
3,8,46.352,46.352
1,2,46.354,46.354
1,9,46.356,46.356
3,11,46.358,46.358
2,7,46.36,46.36
0,6,46.362,46.362
3,8,46.364,46.364
5,7,46.366,46.366
4,5,46.368,46.368
3,3,46.37,46.37
1,5,46.372,46.372
0,8,46.374,46.374
4,8,46.376,46.376
2,8,46.378,46.378
1,7,46.38,46.38
3,6,46.382,46.382
2,5,46.384,46.384
1,5,46.386,46.386
3,6,46.388,46.388
4,10,46.39,46.39
1,6,46.392,46.392
2,9,46.394,46.394
3,13,46.396,46.396
2,10,46.398,46.398
4,10,46.4,46.4
2,8,46.402,46.402
1,8,46.404,46.404
3,11,46.406,46.406
3,15,46.408,46.408
3,6,46.41,46.41
5,12,46.412,46.412
3,12,46.414,46.414
3,9,46.416,46.416
4,17,46.418,46.418
5,16,46.42,46.42
4,15,46.422,46.422
5,24,46.424,46.424
5,15,46.426,46.426
3,16,46.428,46.428
1,16,46.43,46.43
4,10,46.432,46.432
1,16,46.434,46.434
2,21,46.436,46.436
1,16,46.438,46.438
2,19,46.44,46.44
1,17,46.442,46.442
2,12,46.444,46.444
6,13,46.446,46.446
6,19,46.448,46.448
4,17,46.45,46.45
4,13,46.452,46.452
4,19,46.454,46.454
0,13,46.456,46.456
4,23,46.458,46.458
5,15,46.46,46.46
5,17,46.462,46.462
2,15,46.464,46.464
3,14,46.466,46.466
3,14,46.468,46.468
4,25,46.47,46.47
3,16,46.472,46.472
3,16,46.474,46.474
4,17,46.476,46.476
2,23,46.478,46.478
1,14,46.48,46.48
1,22,46.482,46.482
5,22,46.484,46.484
4,26,46.486,46.486
1,16,46.488,46.488
1,21,46.49,46.49
1,24,46.492,46.492
1,31,46.494,46.494
6,23,46.496,46.496
2,20,46.498,46.498
3,16,46.5,46.5
2,14,46.502,46.502
2,28,46.504,46.504
1,29,46.506,46.506
2,19,46.508,46.508
1,23,46.51,46.51
4,19,46.512,46.512
2,28,46.514,46.514
3,17,46.516,46.516
4,17,46.518,46.518
1,11,46.52,46.52
1,24,46.522,46.522
1,22,46.524,46.524
5,17,46.526,46.526
2,25,46.528,46.528
4,10,46.53,46.53
4,13,46.532,46.532
2,18,46.534,46.534
4,17,46.536,46.536
4,14,46.538,46.538
2,17,46.54,46.54
1,18,46.542,46.542
1,9,46.544,46.544
6,10,46.546,46.546
1,12,46.548,46.548
3,12,46.55,46.55
2,10,46.552,46.552
4,15,46.554,46.554
5,15,46.556,46.556
1,15,46.558,46.558
2,13,46.56,46.56
5,12,46.562,46.562
1,15,46.564,46.564
2,13,46.566,46.566
3,12,46.568,46.568
3,11,46.57,46.57
1,18,46.572,46.572
3,10,46.574,46.574
8,12,46.576,46.576
5,13,46.578,46.578
3,11,46.58,46.58
0,14,46.582,46.582
3,16,46.584,46.584
3,8,46.586,46.586
2,11,46.588,46.588
0,15,46.59,46.59
2,19,46.592,46.592
1,11,46.594,46.594
3,18,46.596,46.596
2,9,46.598,46.598
5,13,46.6,46.6
2,18,46.602,46.602
3,16,46.604,46.604
5,13,46.606,46.606
0,10,46.608,46.608
5,13,46.61,46.61
5,16,46.612,46.612
3,6,46.614,46.614
3,18,46.616,46.616
3,12,46.618,46.618
2,16,46.62,46.62
6,16,46.622,46.622
5,12,46.624,46.624
4,13,46.626,46.626
4,19,46.628,46.628
4,21,46.63,46.63
4,6,46.632,46.632
8,18,46.634,46.634
5,20,46.636,46.636
4,9,46.638,46.638
4,16,46.64,46.64
2,10,46.642,46.642
3,16,46.644,46.644
3,21,46.646,46.646
5,11,46.648,46.648
1,23,46.65,46.65
4,20,46.652,46.652
4,14,46.654,46.654
3,12,46.656,46.656
4,23,46.658,46.658
4,22,46.66,46.66
1,17,46.662,46.662
4,15,46.664,46.664
7,20,46.666,46.666
3,11,46.668,46.668
7,16,46.67,46.67
2,18,46.672,46.672
2,13,46.674,46.674
3,17,46.676,46.676
1,8,46.678,46.678
4,21,46.68,46.68
5,18,46.682,46.682
3,25,46.684,46.684
7,19,46.686,46.686
2,8,46.688,46.688
4,18,46.69,46.69
1,17,46.692,46.692
3,13,46.694,46.694
4,17,46.696,46.696
6,14,46.698,46.698
6,25,46.7,46.7
6,22,46.702,46.702
8,14,46.704,46.704
4,15,46.706,46.706
10,16,46.708,46.708
2,33,46.71,46.71
4,24,46.712,46.712
3,20,46.714,46.714
6,24,46.716,46.716
6,17,46.718,46.718
8,24,46.72,46.72
6,23,46.722,46.722
5,25,46.724,46.724
1,16,46.726,46.726
5,31,46.728,46.728
6,25,46.73,46.73
3,19,46.732,46.732
7,25,46.734,46.734
5,28,46.736,46.736
5,23,46.738,46.738
6,35,46.74,46.74
5,30,46.742,46.742
4,18,46.744,46.744
6,26,46.746,46.746
5,29,46.748,46.748
2,23,46.75,46.75
8,31,46.752,46.752
6,23,46.754,46.754
4,36,46.756,46.756
11,29,46.758,46.758
3,32,46.76,46.76
7,30,46.762,46.762
5,29,46.764,46.764
6,27,46.766,46.766
2,37,46.768,46.768
3,31,46.77,46.77
7,40,46.772,46.772
3,35,46.774,46.774
1,35,46.776,46.776
3,32,46.778,46.778
7,42,46.78,46.78
7,36,46.782,46.782
3,29,46.784,46.784
14,40,46.786,46.786
2,39,46.788,46.788
2,39,46.79,46.79
8,47,46.792,46.792
7,52,46.794,46.794
6,32,46.796,46.796
10,42,46.798,46.798
7,50,46.8,46.8
12,47,46.802,46.802
9,48,46.804,46.804
10,45,46.806,46.806
9,47,46.808,46.808
2,43,46.81,46.81
9,48,46.812,46.812
6,53,46.814,46.814
6,54,46.816,46.816
7,53,46.818,46.818
4,43,46.82,46.82
11,56,46.822,46.822
7,48,46.824,46.824
4,52,46.826,46.826
5,39,46.828,46.828
8,47,46.83,46.83
3,39,46.832,46.832
3,41,46.834,46.834
4,56,46.836,46.836
6,70,46.838,46.838
5,58,46.84,46.84
3,56,46.842,46.842
7,46,46.844,46.844
12,54,46.846,46.846
7,48,46.848,46.848
7,39,46.85,46.85
6,32,46.852,46.852
3,38,46.854,46.854
3,45,46.856,46.856
10,62,46.858,46.858
8,47,46.86,46.86
7,60,46.862,46.862
3,38,46.864,46.864
6,38,46.866,46.866
0,42,46.868,46.868
9,62,46.87,46.87
5,36,46.872,46.872
4,36,46.874,46.874
5,36,46.876,46.876
2,41,46.878,46.878
5,40,46.88,46.88
0,34,46.882,46.882
10,32,46.884,46.884
4,42,46.886,46.886
11,28,46.888,46.888
2,38,46.89,46.89
7,43,46.892,46.892
5,38,46.894,46.894
12,33,46.896,46.896
5,37,46.898,46.898
6,39,46.9,46.9
7,23,46.902,46.902
13,32,46.904,46.904
11,23,46.906,46.906
9,25,46.908,46.908
10,43,46.91,46.91
5,26,46.912,46.912
11,26,46.914,46.914
6,24,46.916,46.916
9,30,46.918,46.918
7,21,46.92,46.92
8,35,46.922,46.922
10,31,46.924,46.924
6,25,46.926,46.926
9,31,46.928,46.928
9,25,46.93,46.93
7,29,46.932,46.932
11,38,46.934,46.934
5,21,46.936,46.936
6,34,46.938,46.938
4,22,46.94,46.94
5,22,46.942,46.942
8,23,46.944,46.944
9,29,46.946,46.946
7,35,46.948,46.948
7,32,46.95,46.95
6,39,46.952,46.952
13,24,46.954,46.954
9,33,46.956,46.956
8,40,46.958,46.958
10,31,46.96,46.96
8,39,46.962,46.962
12,45,46.964,46.964
10,45,46.966,46.966
9,36,46.968,46.968
12,38,46.97,46.97
9,52,46.972,46.972
12,45,46.974,46.974
11,42,46.976,46.976
8,46,46.978,46.978
16,49,46.98,46.98
12,53,46.982,46.982
13,64,46.984,46.984
7,49,46.986,46.986
12,56,46.988,46.988
4,53,46.99,46.99
6,58,46.992,46.992
10,62,46.994,46.994
9,61,46.996,46.996
6,74,46.998,46.998
11,63,47,47
10,77,47.002,47.002
14,69,47.004,47.004
12,89,47.006,47.006
13,70,47.008,47.008
12,92,47.01,47.01
7,85,47.012,47.012
12,71,47.014,47.014
2,93,47.016,47.016
8,92,47.018,47.018
11,82,47.02,47.02
10,105,47.022,47.022
9,94,47.024,47.024
17,103,47.026,47.026
14,86,47.028,47.028
14,123,47.03,47.03
10,101,47.032,47.032
15,108,47.034,47.034
16,108,47.036,47.036
12,119,47.038,47.038
15,116,47.04,47.04
11,113,47.042,47.042
22,100,47.044,47.044
18,125,47.046,47.046
15,114,47.048,47.048
20,103,47.05,47.05
16,108,47.052,47.052
12,102,47.054,47.054
11,114,47.056,47.056
15,133,47.058,47.058
16,141,47.06,47.06
15,128,47.062,47.062
22,102,47.064,47.064
17,124,47.066,47.066
13,131,47.068,47.068
12,116,47.07,47.07
17,119,47.072,47.072
13,130,47.074,47.074
13,130,47.076,47.076
17,109,47.078,47.078
18,116,47.08,47.08
17,99,47.082,47.082
17,114,47.084,47.084
19,114,47.086,47.086
21,103,47.088,47.088
18,112,47.09,47.09
8,115,47.092,47.092
8,111,47.094,47.094
19,99,47.096,47.096
11,104,47.098,47.098
19,101,47.1,47.1
17,93,47.102,47.102
24,100,47.104,47.104
20,93,47.106,47.106
19,103,47.108,47.108
25,105,47.11,47.11
15,106,47.112,47.112
29,90,47.114,47.114
25,90,47.116,47.116
14,81,47.118,47.118
19,84,47.12,47.12
20,92,47.122,47.122
19,89,47.124,47.124
23,91,47.126,47.126
25,80,47.128,47.128
26,94,47.13,47.13
21,70,47.132,47.132
25,86,47.134,47.134
21,71,47.136,47.136
26,89,47.138,47.138
27,74,47.14,47.14
31,91,47.142,47.142
19,82,47.144,47.144
18,66,47.146,47.146
23,85,47.148,47.148
22,91,47.15,47.15
22,92,47.152,47.152
21,88,47.154,47.154
22,83,47.156,47.156
29,80,47.158,47.158
27,78,47.16,47.16
25,100,47.162,47.162
23,85,47.164,47.164
31,90,47.166,47.166
31,105,47.168,47.168
15,96,47.17,47.17
28,126,47.172,47.172
29,112,47.174,47.174
34,113,47.176,47.176
43,111,47.178,47.178
35,126,47.18,47.18
35,125,47.182,47.182
36,141,47.184,47.184
23,137,47.186,47.186
23,149,47.188,47.188
34,144,47.19,47.19
37,140,47.192,47.192
39,127,47.194,47.194
28,147,47.196,47.196
41,148,47.198,47.198
38,178,47.2,47.2
29,189,47.202,47.202
34,202,47.204,47.204
40,196,47.206,47.206
38,219,47.208,47.208
38,211,47.21,47.21
38,244,47.212,47.212
44,261,47.214,47.214
35,246,47.216,47.216
37,243,47.218,47.218
40,254,47.22,47.22
36,259,47.222,47.222
32,270,47.224,47.224
47,288,47.226,47.226
49,278,47.228,47.228
43,321,47.23,47.23
45,353,47.232,47.232
44,310,47.234,47.234
41,357,47.236,47.236
54,360,47.238,47.238
59,365,47.24,47.24
52,366,47.242,47.242
56,381,47.244,47.244
56,367,47.246,47.246
47,414,47.248,47.248
51,398,47.25,47.25
62,400,47.252,47.252
46,401,47.254,47.254
45,412,47.256,47.256
57,386,47.258,47.258
65,491,47.26,47.26
61,464,47.262,47.262
50,454,47.264,47.264
61,479,47.266,47.266
50,467,47.268,47.268
65,493,47.27,47.27
71,460,47.272,47.272
74,464,47.274,47.274
58,490,47.276,47.276
79,510,47.278,47.278
73,486,47.28,47.28
64,484,47.282,47.282
67,535,47.284,47.284
64,484,47.286,47.286
69,514,47.288,47.288
54,588,47.29,47.29
78,495,47.292,47.292
66,529,47.294,47.294
82,494,47.296,47.296
76,482,47.298,47.298
86,559,47.3,47.3
57,513,47.302,47.302
72,464,47.304,47.304
82,532,47.306,47.306
91,508,47.308,47.308
106,494,47.31,47.31
85,495,47.312,47.312
83,474,47.314,47.314
98,506,47.316,47.316
99,488,47.318,47.318
117,491,47.32,47.32
97,516,47.322,47.322
80,459,47.324,47.324
87,480,47.326,47.326
102,446,47.328,47.328
105,442,47.33,47.33
113,466,47.332,47.332
109,438,47.334,47.334
111,413,47.336,47.336
116,458,47.338,47.338
117,424,47.34,47.34
121,416,47.342,47.342
131,442,47.344,47.344
117,406,47.346,47.346
132,346,47.348,47.348
122,423,47.35,47.35
125,402,47.352,47.352
144,373,47.354,47.354
142,401,47.356,47.356
143,339,47.358,47.358
146,359,47.36,47.36
147,331,47.362,47.362
141,343,47.364,47.364
159,304,47.366,47.366
144,365,47.368,47.368
153,352,47.37,47.37
200,347,47.372,47.372
162,385,47.374,47.374
179,334,47.376,47.376
194,372,47.378,47.378
182,335,47.38,47.38
166,381,47.382,47.382
196,342,47.384,47.384
204,349,47.386,47.386
231,343,47.388,47.388
228,361,47.39,47.39
248,382,47.392,47.392
234,365,47.394,47.394
222,384,47.396,47.396
263,391,47.398,47.398
263,406,47.4,47.4
260,414,47.402,47.402
273,421,47.404,47.404
247,429,47.406,47.406
293,466,47.408,47.408
319,449,47.41,47.41
315,525,47.412,47.412
344,487,47.414,47.414
373,533,47.416,47.416
339,560,47.418,47.418
365,620,47.42,47.42
370,603,47.422,47.422
381,634,47.424,47.424
419,689,47.426,47.426
401,689,47.428,47.428
476,753,47.43,47.43
487,758,47.432,47.432
541,833,47.434,47.434
524,869,47.436,47.436
608,900,47.438,47.438
590,924,47.44,47.44
662,996,47.442,47.442
691,1012,47.444,47.444
715,1116,47.446,47.446
790,1143,47.448,47.448
818,1151,47.45,47.45
929,1193,47.452,47.452
905,1301,47.454,47.454
982,1347,47.456,47.456
945,1410,47.458,47.458
1032,1535,47.46,47.46
979,1553,47.462,47.462
1027,1528,47.464,47.464
1052,1695,47.466,47.466
1032,1740,47.468,47.468
1095,1918,47.47,47.47
1082,1960,47.472,47.472
1171,1977,47.474,47.474
1181,2097,47.476,47.476
1162,2190,47.478,47.478
1190,2274,47.48,47.48
1213,2398,47.482,47.482
1242,2383,47.484,47.484
1272,2597,47.486,47.486
1296,2590,47.488,47.488
1305,2745,47.49,47.49
1336,2888,47.492,47.492
1447,3013,47.494,47.494
1450,3094,47.496,47.496
1420,3269,47.498,47.498
1483,3360,47.5,47.5
1477,3435,47.502,47.502
1563,3521,47.504,47.504
1575,3756,47.506,47.506
1594,3894,47.508,47.508
1688,4009,47.51,47.51
1633,4220,47.512,47.512
1653,4325,47.514,47.514
1768,4585,47.516,47.516
1720,4669,47.518,47.518
1805,4876,47.52,47.52
1768,4887,47.522,47.522
1841,5037,47.524,47.524
1892,5181,47.526,47.526
1947,5187,47.528,47.528
2041,5335,47.53,47.53
1955,5465,47.532,47.532
2054,5503,47.534,47.534
2135,5468,47.536,47.536
2086,5657,47.538,47.538
2150,5668,47.54,47.54
2227,5781,47.542,47.542
2219,5729,47.544,47.544
2260,5855,47.546,47.546
2405,6041,47.548,47.548
2402,6061,47.55,47.55
2485,6132,47.552,47.552
2534,6249,47.554,47.554
2748,6379,47.556,47.556
2752,6505,47.558,47.558
2831,6556,47.56,47.56
2844,6762,47.562,47.562
2965,6535,47.564,47.564
3075,6721,47.566,47.566
3267,6942,47.568,47.568
3349,6983,47.57,47.57
3416,6835,47.572,47.572
3517,7104,47.574,47.574
3715,7141,47.576,47.576
4012,7313,47.578,47.578
4113,7374,47.58,47.58
4268,7638,47.582,47.582
4550,7689,47.584,47.584
4845,7870,47.586,47.586
4989,7999,47.588,47.588
5408,8231,47.59,47.59
5566,8457,47.592,47.592
5993,8837,47.594,47.594
6435,9173,47.596,47.596
6845,9342,47.598,47.598
7147,9757,47.6,47.6
7581,10248,47.602,47.602
8190,10807,47.604,47.604
8879,11240,47.606,47.606
9472,12063,47.608,47.608
10216,12654,47.61,47.61
10895,13572,47.612,47.612
12068,14859,47.614,47.614
12817,15941,47.616,47.616
13800,17317,47.618,47.618
